Id,SalePrice
1461,132251.375
1462,154321.01166666666
1463,177906.0366666667
1464,180754.38249999998
1465,199599.7123412699
1466,178988.21476190473
1467,166910.38333333336
1468,175777.77500000002
1469,181177.47083333335
1470,118433.40059523808
1471,198054.50011904762
1472,93969.14285714287
1473,99289.23452380951
1474,158398.1111111111
1475,148282.32440476195
1476,357016.05011904764
1477,249413.02547619055
1478,315622.66250000015
1479,257352.93583333338
1480,406772.29416666663
1481,299619.94875
1482,204689.64583333334
1483,177558.7255952381
1484,179375.24023809523
1485,172639.97738095236
1486,200660.09047619047
1487,309965.0020833333
1488,240498.43839285715
1489,207132.71666666665
1490,200878.86964285714
1491,189504.85416666666
1492,102099.23333333332
1493,173224.65178571426
1494,286152.09452380956
1495,291277.63309523807
1496,218363.92690476187
1497,193434.69702380954
1498,151966.84333333332
1499,151916.65499999997
1500,150329.76490079367
1501,174219.4722222222
1502,172068.29583333334
1503,300466.3554166667
1504,223869.65714285715
1505,216720.74107142855
1506,185247.23472222226
1507,221679.0978174603
1508,205125.49708333335
1509,166824.35190476192
1510,153540.98809523808
1511,154127.44642857145
1512,169412.12202380953
1513,160741.51869047622
1514,159202.78291847042
1515,185279.24345238096
1516,159090.9128968254
1517,155019.775
1518,131154.43000000002
1519,221367.75773809524
1520,138326.9791666667
1521,142693.11011904763
1522,162947.17261904763
1523,114196.84428571428
1524,124164.08452380954
1525,126475.54494047619
1526,123086.85226190477
1527,103831.29999999999
1528,126033.58432539683
1529,142509.35119047615
1530,163756.48809523814
1531,123729.8375
1532,112781.68095238095
1533,141747.6541666667
1534,118059.68154761902
1535,156795.92916666667
1536,116436.50458333331
1537,79382.02886904763
1538,181448.79047619048
1539,234735.6166666667
1540,113152.13999999998
1541,149529.8792857143
1542,138678.01190476192
1543,223957.1478174603
1544,76668.25
1545,105277.89682539683
1546,125055.38214285714
1547,134596.10119047618
1548,137917.38154761906
1549,117573.83452380954
1550,137763.51666666666
1551,119712.5738095238
